Name,Region,Population,Area,PopulationDensity,CoastlineRatio,NetMigration,InfantMortality,GDP,Literacy,Phones,Climate,Birthrate,Deathrate,Agriculture,Industry,Latitude,Longitude
Gibraltar,WESTERN EUROPE,27928,7,"3989,7","171,43",0,"5,13",17500,,"877,7",,"10,74","9,31",,,36.137741,-5.345374
Greece,WESTERN EUROPE,10688058,131940,"81,0","10,37","2,35","5,53",20000,"97,5","589,7",3,"9,68","10,24","0,054","0,213",39.074208,21.824312
Greenland,NORTHERN AMERICA,56361,2166086,"0,0","2,04","-8,37","15,82",20000,,"448,9",1,"15,93","7,84",,,71.706936,-42.604303
Grenada,LATIN AMER. & CARIB,89703,344,"260,8","35,17","-13,92","14,62",5000,"98,0","364,5",2,"22,08","6,88","0,054","0,18",12.262776,-61.604171
Guadeloupe,LATIN AMER. & CARIB,452776,1780,"254,4","17,19","-0,15","8,6",8000,"90,0","463,8",2,"15,05","6,09","0,15","0,17",16.995971,-62.067641
Guam,OCEANIA,171019,541,"316,1","23,20",0,"6,94",21000,"99,0","492,0",2,"18,79","4,48",,,13.444304,144.793731
Guatemala,LATIN AMER. & CARIB,12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1",2,"29,88","5,2","0,227","0,188",15.783471,-90.230759
Guernsey,WESTERN EUROPE,65409,78,"838,6","64,10","3,84","4,71",20000,,"842,4",3,"8,81","10,01","0,03","0,1",49.465691,-2.585278
Guinea,SUB-SAHARAN AFRICA,9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7",2,"41,76","15,48","0,237","0,362",9.945587,-9.696645
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,"39,9","0,97","-1,57","107,17",800,"42,4","7,4",2,"37,22","16,53","0,62","0,12",11.803749,-15.180413
Guyana,LATIN AMER. & CARIB,767245,214970,"3,6","0,21","-2,07","33,26",4000,"98,8","143,5",2,"18,28","8,28","0,37","0,203",4.860416,-58.93018
Haiti,LATIN AMER. & CARIB,8308504,27750,"299,4","6,38","-3,4","73,45",1600,"52,9","16,9",2,"36,44","12,17","0,28","0,2",18.971187,-72.285215
Honduras,LATIN AMER. & CARIB,7326496,112090,"65,4","0,73","-1,99","29,32",2600,"76,2","67,5",2,"28,24","5,28","0,139","0,312",15.199999,-86.241905
Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,"6355,7","67,12","5,24","2,97",28800,"93,5","546,7",2,"7,29","6,29","0,001","0,092",22.396428,114.109497
Hungary,EASTERN EUROPE,9981334,93030,"107,3","0,00","0,86","8,57",13900,"99,4","336,2",3,"9,72","13,11","0,037","0,312",47.162494,19.503304
Iceland,WESTERN EUROPE,299388,103000,"2,9","4,83","2,38","3,31",30900,"99,9","647,7",3,"13,64","6,72","0,086","0,15",64.963051,-19.020835
India,ASIA (EX. NEAR EAST),1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","2,5","22,01","8,18","0,186","0,276",20.593684,78.96288
Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,"127,9","2,85",0,"35,6",3200,"87,9","52,0",2,"20,34","6,25","0,134","0,458",-0.789275,113.921327
Iran,ASIA (EX. NEAR EAST),68688433,1648000,"41,7","0,15","-0,84","41,58",7000,"79,4","276,4",1,17,"5,55","0,116","0,424",32.427908,53.688046
Iraq,NEAR EAST,26783383,437072,"61,3","0,01",0,"50,25",1500,"40,4","38,6",1,"31,98","5,37","0,073","0,666",33.223191,43.679291
Ireland,WESTERN EUROPE,4062235,70280,"57,8","2,06","4,99","5,39",29600,"98,0","500,5",3,"14,45","7,82","0,05","0,46",53.41291,-8.24389
Isle of Man,WESTERN EUROPE,75441,572,"131,9","27,97","5,36","5,93",21000,,"676,0",3,"11,05","11,19","0,01","0,13",54.236107,-4.548056
Israel,NEAR EAST,6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3",3,"17,97","6,18","0,026","0,317",31.046051,34.851612
Italy,WESTERN EUROPE,58133509,301230,"193,0","2,52","2,07","5,94",26700,"98,6","430,9",,"8,72","10,4","0,021","0,291",41.87194,12.56738
Jamaica,LATIN AMER. & CARIB,2758124,10991,"250,9","9,30","-4,92","12,36",3900,"87,9","124,0",2,"20,82","6,52","0,049","0,337",18.109581,-77.297508
Japan,ASIA (EX. NEAR EAST),127463611,377835,"337,4","7,87",0,"3,26",28200,"99,0","461,2",3,"9,37","9,16","0,017","0,258",36.204824,138.252924
Jersey,WESTERN EUROPE,91084,116,"785,2","60,34","2,76","5,24",24800,,"811,3",3,"9,3","9,28","0,05","0,02",49.214439,-2.13125
Jordan,NEAR EAST,5906760,92300,"64,0","0,03","6,59","17,35",4300,"91,3","104,5",1,"21,25","2,65","0,033","0,287",30.585164,36.238414
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,"5,6","0,00","-3,35","29,21",6300,"98,4","164,1",4,16,"9,42","0,067","0,386",48.019573,66.923684
Kenya,SUB-SAHARAN AFRICA,34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","1,5","39,72","14,02","0,163","0,188",-0.023559,37.906193
Kiribati,OCEANIA,105432,811,"130,0","140,94",0,"48,52",800,,"42,7",2,"30,65","8,26","0,089","0,242",-3.370417,-168.734039
"Korea, North",ASIA (EX. NEAR EAST),23113019,120540,"191,8","2,07",0,"24,04",1300,"99,0","42,4",3,"15,54","7,13","0,3","0,34",40.339852,127.510093
"Korea, South",ASIA (EX. NEAR EAST),48846823,98480,"496,0","2,45",0,"7,05",17800,"97,9","486,1",3,10,"5,85","0,033","0,403",35.907757,127.766922
Kuwait,NEAR EAST,2418393,17820,"135,7","2,80","14,18","9,95",19000,"83,5","211,0",1,"21,94","2,41","0,004","0,479",29.31166,47.481766
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,"26,3","0,00","-2,45","35,64",1600,"97,0","84,0","2,5","22,8","7,08","0,353","0,208",41.20438,74.766098
Laos,ASIA (EX. NEAR EAST),6368481,236800,"26,9","0,00",0,"85,22",1700,"66,4","14,1",2,"35,49","11,55","0,455","0,287",19.85627,102.495496
Latvia,BALTICS,2274735,64589,"35,2","0,82","-2,23","9,55",10200,"99,8","321,4",3,"9,24","13,66","0,04","0,261",56.879635,24.603189
Lebanon,NEAR EAST,3874050,10400,"372,5","2,16",0,"24,52",4800,"87,4","255,6",,"18,52","6,21","0,12","0,21",33.854721,35.862285
Lesotho,SUB-SAHARAN AFRICA,2022331,30355,"66,6","0,00","-0,74","84,23",3000,"84,8","23,7",3,"24,75","28,71","0,163","0,443",-29.609988,28.233608
Liberia,SUB-SAHARAN AFRICA,3042004,111370,"27,3","0,52",0,"128,87",1000,"57,5","2,3",2,"44,77","23,1","0,769","0,054",6.428055,-9.429499
Libya,NORTHERN AFRICA,5900754,1759540,"3,4","0,10",0,"24,6",6400,"82,6","127,1",,"26,49","3,48","0,076","0,499",26.3351,17.228331
Liechtenstein,WESTERN EUROPE,33987,160,"212,4","0,00","4,85","4,7",25000,"100,0","585,5",4,"10,21","7,18","0,06","0,39",47.166,9.555373
Lithuania,BALTICS,3585906,65200,"55,0","0,14","-0,71","6,89",11400,"99,6","223,4",,"8,75","10,98","0,055","0,325",55.169438,23.881275
Luxembourg,WESTERN EUROPE,474413,2586,"183,5","0,00","8,97","4,81",55100,"100,0","515,4",,"11,94","8,41","0,01","0,13",49.815273,6.129583
Macau,ASIA (EX. NEAR EAST),453125,28,"16183,0","146,43","4,86","4,39",19400,"94,5","384,9",2,"8,48","4,47","0,001","0,072",22.198745,113.543873
Macedonia,EASTERN EUROPE,2050554,25333,"80,9","0,00","-1,45","10,09",6700,,"260,0",3,"12,02","8,77","0,118","0,319",,
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,"31,7","0,82",0,"76,83",800,"68,9","3,6",2,"41,41","11,11","0,276","0,165",-18.766947,46.869107
Malawi,SUB-SAHARAN AFRICA,13013926,118480,"109,8","0,00",0,"103,32",600,"62,7","7,9",2,"43,13","19,33","0,342","0,158",-13.254308,34.301525
Malaysia,ASIA (EX. NEAR EAST),24385858,329750,"74,0","1,42",0,"17,7",9000,"88,7","179,0",2,"22,86","5,05","0,084","0,48",4.210484,101.975766
Maldives,ASIA (EX. NEAR EAST),359008,300,"1196,7","214,67",0,"56,52",3900,"97,2","90,0",2,"34,81","7,06","0,2","0,18",3.202778,73.22068
Mali,SUB-SAHARAN AFRICA,11716829,1240000,"9,5","0,00","-0,33","116,79",900,"46,4","6,4",2,"49,82","16,89","0,45","0,17",17.570692,-3.996166
Malta,WESTERN EUROPE,400214,316,"1266,5","62,28","2,07","3,89",17700,"92,8","505,0",,"10,22","8,1","0,03","0,23",35.937496,14.375416
Marshall Islands,OCEANIA,60422,11854,"5,1","3,12","-6,04","29,45",1600,"93,7","91,2",2,"33,05","4,78","0,317","0,149",7.131474,171.184478
Martinique,LATIN AMER. & CARIB,436131,1100,"396,5","31,82","-0,05","7,09",14400,"97,7","394,4",2,"13,74","6,48","0,06","0,11",14.641528,-61.024174
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,"3,1","0,07",0,"70,89",1800,"41,7","12,9",1,"40,99","12,16","0,25","0,29",21.00789,-10.940835
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,"608,3","8,68","-0,9","15,03",11400,"85,6","289,3",2,"15,43","6,86","0,059","0,298",-20.348404,57.552152
Mayotte,SUB-SAHARAN AFRICA,201234,374,"538,1","49,52","6,78","62,4",2600,,"49,7",2,"40,95","7,7",,,-12.8275,45.166244
Mexico,LATIN AMER. & CARIB,107449525,1972550,"54,5","0,47","-4,87","20,91",9000,"92,2","181,6","1,5","20,69","4,74","0,038","0,259",23.634501,-102.552784
"Micronesia, Fed. St.",OCEANIA,108004,702,"153,9","870,66","-20,99","30,21",2000,"89,0","114,8",2,"24,68","4,75","0,289","0,152",,
Moldova,C.W. OF IND. STATES,4466706,33843,"132,0","0,00","-0,26","40,42",1800,"99,1","208,1",,"15,7","12,64","0,213","0,233",47.411631,28.369885
Monaco,WESTERN EUROPE,32543,2,"16271,5","205,00","7,75","5,43",27000,"99,0","1035,6",,"9,19","12,91","0,17",,43.750298,7.412841
Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,"1,8","0,00",0,"53,79",1800,"97,8","55,1",1,"21,59","6,95","0,206","0,214",46.862496,103.846656
Montserrat,LATIN AMER. & CARIB,9439,102,"92,5","39,22",0,"7,35",3400,"97,0",,2,"17,59","7,1",,,16.742498,-62.187366
Morocco,NORTHERN AFRICA,33241259,446550,"74,4","0,41","-0,98","41,62",4000,"51,7","40,4",,"21,98","5,58","0,217","0,357",31.791702,-7.09262
Mozambique,SUB-SAHARAN AFRICA,19686505,801590,"24,6","0,31",0,"130,79",1200,"47,8","3,5",2,"35,18","21,35","0,262","0,348",-18.665695,35.529562
Namibia,SUB-SAHARAN AFRICA,2044147,825418,"2,5","0,19",0,"48,98",7200,"84,0","62,6",1,"24,32","18,86","0,097","0,315",-22.95764,18.49041
Nauru,OCEANIA,13287,21,"632,7","142,86",0,"9,95",5000,,"143,0",2,"24,76","6,7",,,-0.522778,166.931503
Nepal,ASIA (EX. NEAR EAST),28287147,147181,"192,2","0,00",0,"66,98",1400,"45,2","15,9",,"30,98","9,31","0,38","0,21",28.394857,84.124008
Netherlands,WESTERN EUROPE,16491461,41526,"397,1","1,09","2,91","5,04",28600,"99,0","460,8",3,"10,9","8,68","0,021","0,244",52.132633,5.291266
