Name,Region,Population,Area,PopulationDensity,CoastlineRatio,NetMigration,InfantMortality,GDP,Literacy,Phones,Climate,Birthrate,Deathrate,Agriculture,Industry,Latitude,Longitude
Singapore,ASIA (EX. NEAR EAST),4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4",2,"9,34","4,28",0,"0,339",1.352083,103.819836
Slovakia,EASTERN EUROPE,5439448,48845,"111,4","0,00","0,3","7,41",13300,,"220,1",3,"10,65","9,45","0,035","0,294",48.669026,19.699024
Slovenia,EASTERN EUROPE,2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1",,"8,98","10,31","0,028","0,369",46.151241,14.995463
Solomon Islands,OCEANIA,552438,28450,"19,4","18,67",0,"21,29",1700,,"13,4",2,"30,01","3,92","0,42","0,11",-9.64571,160.156194
Somalia,SUB-SAHARAN AFRICA,8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3",1,"45,13","16,63","0,65","0,1",5.152149,46.199616
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0",1,"18,2",22,"0,025","0,303",-30.559482,22.937506
Spain,WESTERN EUROPE,40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5",3,"10,06","9,72","0,04","0,295",40.463667,-3.74922
Sri Lanka,ASIA (EX. NEAR EAST),20222240,65610,"308,2","2,04","-1,31","14,35",3700,"92,3","61,5",2,"15,51","6,52","0,178","0,276",7.873054,80.771797
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,"16,5","0,03","-0,02","62,5",1900,"61,1","16,3",2,"34,53","8,97","0,387","0,203",12.862807,30.217636
Suriname,LATIN AMER. & CARIB,439117,163270,"2,7","0,24","-8,81","23,57",4000,"93,0","184,7",2,"18,02","7,27","0,13","0,22",3.919305,-56.027783
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,"65,5","0,00",0,"69,27",4900,"81,6","30,8","2,5","27,41","29,74","0,119","0,515",-26.522503,31.465866
Sweden,WESTERN EUROPE,9016596,449964,"20,0","0,72","1,67","2,77",26800,"99,0","715,0",3,"10,27","10,31","0,011","0,282",60.128161,18.643501
Switzerland,WESTERN EUROPE,7523934,41290,"182,2","0,00","4,05","4,39",32700,"99,0","680,9",3,"9,71","8,49","0,015","0,34",46.818188,8.227512
Syria,NEAR EAST,18881361,185180,"102,0","0,10",0,"29,53",3300,"76,9","153,8",1,"27,76","4,81","0,249","0,23",34.802075,38.996815
Taiwan,ASIA (EX. NEAR EAST),23036087,35980,"640,3","4,35",0,"6,4",23400,"96,1","591,0",2,"12,56","6,48","0,018","0,259",23.69781,120.960515
Tajikistan,C.W. OF IND. STATES,7320815,143100,"51,2","0,00","-2,86","110,76",1000,"99,4","33,5",2,"32,65","8,25","0,234","0,286",38.861034,71.276093
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,"39,6","0,15","-2,06","98,54",600,"78,2","4,0",,"37,71","16,39","0,432","0,172",-6.369028,34.888822
Thailand,ASIA (EX. NEAR EAST),64631595,514000,"125,7","0,63",0,"20,48",7400,"92,6","108,9",2,"13,87","7,04","0,099","0,441",15.870032,100.992541
Togo,SUB-SAHARAN AFRICA,5548702,56785,"97,7","0,10",0,"66,61",1500,"60,9","10,6",2,"37,01","9,83","0,395","0,204",8.619543,0.824782
Tonga,OCEANIA,114689,748,"153,3","56,02",0,"12,62",2200,"98,5","97,7",2,"25,37","5,28","0,23","0,27",-21.178986,-175.198242
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,"207,9","7,06","-10,83","24,31",9500,"98,6","303,5",2,"12,9","10,57","0,007","0,57",,
Tunisia,NORTHERN AFRICA,10175014,163610,"62,2","0,70","-0,57","24,77",6900,"74,2","123,6",3,"15,52","5,13","0,132","0,318",33.886917,9.537499
Turkey,NEAR EAST,70413958,780580,"90,2","0,92",0,"41,04",6700,"86,5","269,5",3,"16,62","5,97","0,117","0,298",38.963745,35.243322
Turkmenistan,C.W. OF IND. STATES,5042920,488100,"10,3","0,00","-0,86","73,08",5800,"98,0","74,6",1,"27,61","8,6","0,209","0,38",38.969719,59.556278
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,"49,2","90,47","11,68","15,67",9600,"98,0","269,5",2,"21,84","4,21",,,,
Tuvalu,OCEANIA,11810,26,"454,2","92,31",0,"20,03",1100,,"59,3",2,"22,18","7,11","0,166","0,272",-7.109535,177.64933
Uganda,SUB-SAHARAN AFRICA,28195754,236040,"119,5","0,00",0,"67,83",1400,"69,9","3,6",2,"47,35","12,24","0,311","0,222",1.373333,32.290275
Ukraine,C.W. OF IND. STATES,46710816,603700,"77,4","0,46","-0,39","20,34",5400,"99,7","259,9",3,"8,82","14,39","0,187","0,452",48.379433,31.16558
United Arab Emirates,NEAR EAST,2602713,82880,"31,4","1,59","1,03","14,51",23200,"77,9","475,3",1,"18,96","4,4","0,04","0,585",23.424076,53.847818
United Kingdom,WESTERN EUROPE,60609153,244820,"247,6","5,08","2,19","5,16",27700,"99,0","543,5",3,"10,71","10,13","0,005","0,237",55.378051,-3.435973
United States,NORTHERN AMERICA,298444215,9631420,"31,0","0,21","3,41","6,5",37800,"97,0","898,0",3,"14,14","8,26","0,01","0,204",37.09024,-95.712891
Uruguay,LATIN AMER. & CARIB,3431932,176220,"19,5","0,37","-0,32","11,95",12800,"98,0","291,4",3,"13,91","9,05","0,093","0,311",-32.522779,-55.765835
Uzbekistan,C.W. OF IND. STATES,27307134,447400,"61,0","0,00","-1,72","71,1",1700,"99,3","62,9",1,"26,36","7,84","0,342","0,229",41.377491,64.585262
Vanuatu,OCEANIA,208869,12200,"17,1","20,72",0,"55,16",2900,"53,0","32,6",2,"22,72","7,82","0,26","0,12",-15.376706,166.959158
Venezuela,LATIN AMER. & CARIB,25730435,912050,"28,2","0,31","-0,04","22,2",4800,"93,4","140,1",2,"18,71","4,92","0,04","0,419",6.42375,-66.58973
Vietnam,ASIA (EX. NEAR EAST),84402966,329560,"256,1","1,05","-0,45","25,95",2500,"90,3","187,7",2,"16,86","6,22","0,209","0,41",14.058324,108.277199
Virgin Islands,LATIN AMER. & CARIB,108605,1910,"56,9","9,84","-8,94","8,03",17200,,"652,8",2,"13,96","6,43","0,01","0,19",,
Wallis and Futuna,OCEANIA,16025,274,"58,5","47,08",,,3700,"50,0","118,6",2,,,,,-13.768752,-177.156097
West Bank,NEAR EAST,2460492,5860,"419,9","0,00","2,98","19,62",800,,"145,2",3,"31,67","3,92","0,09","0,28",,
Western Sahara,NORTHERN AFRICA,273008,266000,"1,0","0,42",,,,,,1,,,,,24.215527,-12.885834
Yemen,NEAR EAST,21456188,527970,"40,6","0,36",0,"61,5",800,"50,2","37,2",1,"42,89","8,3","0,135","0,472",15.552727,48.516388
Zambia,SUB-SAHARAN AFRICA,11502010,752614,"15,3","0,00",0,"88,29",800,"80,6","8,2",2,41,"19,93","0,22","0,29",-13.133897,27.849332
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,"31,3","0,00",0,"67,69",1900,"90,7","26,8",2,"28,01","21,84","0,179","0,243",-19.015438,29.154857
